Batsman,Runs,Balls,4s,6s,Strike_Rates,Country
Najmul Hossain Shanto,21,25,1,1,84,Bangladesh
Litton Das,60,27,7,3,222.22,Bangladesh
Shakib Al Hasan(c),13,12,2,0,108.33,Bangladesh
Afif Hossain,3,5,0,0,60,Bangladesh
Yasir Ali,1,3,0,0,33.33,Bangladesh
Nurul Hasan,25,14,2,1,178.57,Bangladesh
Mosaddek Hossain,6,3,0,1,200,Bangladesh
Taskin Ahmed,12,7,1,1,171.42,Bangladesh
Mohammad Rizwan,4,4,1,0,100,Pakistan
Babar Azam(c),6,15,0,0,40,Pakistan
Mohammad Haris,28,11,2,3,254.54,Pakistan
Shan Masood,2,6,0,0,33.33,Pakistan
Iftikhar Ahmed,51,35,3,2,145.71,Pakistan
Mohammad Nawaz,28,22,4,1,127.27,Pakistan
Shadab Khan,52,22,3,4,236.36,Pakistan
Mohammad Wasim,0,1,0,0,0,Pakistan
Naseem Shah,5,3,0,0,166.66,Pakistan
Haris Rauf,3,2,0,0,150,Pakistan
Temba Bavuma(c),36,19,4,1,189.47,South Africa
Quinton de Kock,0,5,0,0,0,South Africa
Rilee Rossouw,7,6,0,1,116.66,South Africa
Aiden Markram,20,14,4,0,142.85,South Africa
Heinrich Klaasen,15,9,3,0,166.66,South Africa
Tristan Stubbs,18,18,0,1,100,South Africa
Wayne Parnell,3,4,0,0,75,South Africa
Kagiso Rabada,1,2,0,0,50,South Africa
Anrich Nortje,1,5,0,0,20,South Africa
Lungi Ngidi,4,1,1,0,400,South Africa
Tabraiz Shamsi,1,1,0,0,100,South Africa
Finn Allen,32,18,5,1,177.77,New Zealand
Devon Conway,28,33,2,0,84.84,New Zealand
Kane Williamson(c),61,35,5,3,174.28,New Zealand
Glenn Phillips,17,9,2,1,188.88,New Zealand
Daryl Mitchell,31,21,2,0,147.61,New Zealand
James Neesham,0,1,0,0,0,New Zealand
Mitchell Santner,0,1,0,0,0,New Zealand
Tim Southee,1,2,0,0,50,New Zealand
Paul Stirling,37,27,3,1,137.03,Ireland
Andy Balbirnie(c),30,25,0,3,120,Ireland
Lorcan Tucker,13,14,0,0,92.85,Ireland
Harry Tector,2,7,0,0,28.57,Ireland
Gareth Delany,10,8,2,0,125,Ireland
George Dockrell,23,15,3,0,153.33,Ireland
Curtis Campher,7,7,1,0,100,Ireland
Fionn Hand,5,3,1,0,166.66,Ireland
Mark Adair,4,5,0,0,80,Ireland
Barry McCarthy,6,5,0,0,120,Ireland
Josh Little,8,4,0,1,200,Ireland
David Warner,25,18,5,0,138.88,Australia
Cameron Green,3,2,0,0,150,Australia
Mitchell Marsh,45,30,3,2,150,Australia
Steven Smith,4,4,1,0,100,Australia
Marcus Stoinis,25,21,0,2,119.04,Australia
Glenn Maxwell,54,32,6,2,168.75,Australia
Matthew Wade(c),6,8,1,0,75,Australia
Pat Cummins,0,2,0,0,0,Australia
Kane Richardson,1,1,0,0,100,Australia
Adam Zampa,1,1,0,0,100,Australia
Rahmanullah Gurbaz,30,17,2,2,176.47,Afghanistan
Usman Ghani,2,7,0,0,28.57,Afghanistan
Ibrahim Zadran,26,33,2,0,78.78,Afghanistan
Gulbadin Naib,39,23,3,2,169.56,Afghanistan
Mohammad Nabi(c),1,2,0,0,50,Afghanistan
Najibullah Zadran,0,2,0,0,0,Afghanistan
Darwish Rasooli,15,13,1,0,115.38,Afghanistan
Rashid Khan,48,23,3,4,208.69,Afghanistan
Naveen-ul-Haq,0,0,0,0,-,Afghanistan
Pathum Nissanka,67,45,2,5,148.88,Sri Lanka
Kusal Mendis,18,14,1,1,128.57,Sri Lanka
Dhananjaya de Silva,9,11,0,0,81.81,Sri Lanka
Charith Asalanka,8,9,0,0,88.88,Sri Lanka
Bhanuka Rajapaksa,22,22,3,0,100,Sri Lanka
Dasun Shanaka(c),3,8,0,0,37.5,Sri Lanka
Wanindu Hasaranga de Silva,9,9,1,0,100,Sri Lanka
Chamika Karunaratne,0,2,0,0,0,Sri Lanka
Maheesh Theekshana,0,0,0,0,-,Sri Lanka
Jos Buttler(c),28,23,2,1,121.73,England
Alex Hales,47,30,7,1,156.66,England
Ben Stokes,42,36,2,0,116.66,England
Harry Brook,4,5,0,0,80,England
Liam Livingstone,4,6,0,0,66.66,England
Moeen Ali,1,5,0,0,20,England
Sam Curran,6,11,0,0,54.54,England
Chris Woakes,5,3,1,0,166.66,England
Stephan Myburgh,37,30,7,0,123.33,Netherlands
Max O'Dowd,29,31,1,1,93.54,Netherlands
Tom Cooper,35,19,2,2,184.21,Netherlands
Colin Ackermann,41,26,3,2,157.69,Netherlands
Bas de Leede,1,7,0,0,14.28,Netherlands
Scott Edwards(c),12,7,2,0,171.42,Netherlands
Quinton de Kock,13,13,1,1,100,South Africa
Temba Bavuma(c),20,20,2,0,100,South Africa
Rilee Rossouw,25,19,2,0,131.57,South Africa
Aiden Markram,17,13,2,0,130.76,South Africa
David Miller,17,17,1,0,100,South Africa
Heinrich Klaasen,21,18,0,1,116.66,South Africa
Wayne Parnell,0,2,0,0,0,South Africa
Keshav Maharaj,13,12,0,1,108.33,South Africa
Kagiso Rabada,9,8,0,0,112.5,South Africa
Anrich Nortje,4,1,1,0,400,South Africa
Najmul Hossain Shanto,54,48,7,0,112.5,Bangladesh
Litton Das,10,8,0,1,125,Bangladesh
Soumya Sarkar,20,17,1,1,117.64,Bangladesh
Shakib Al Hasan(c),0,1,0,0,0,Bangladesh
Afif Hossain,24,20,3,0,120,Bangladesh
Mosaddek Hossain,5,11,0,0,45.45,Bangladesh
Nurul Hasan,0,3,0,0,0,Bangladesh
Taskin Ahmed,1,5,0,0,20,Bangladesh
Nasum Ahmed,7,6,1,0,116.66,Bangladesh
Mustafizur Rahman,0,1,0,0,0,Bangladesh
Mohammad Rizwan,32,32,2,1,100,Pakistan
Babar Azam(c),25,33,2,0,75.75,Pakistan
Mohammad Nawaz,4,11,0,0,36.36,Pakistan
Mohammad Haris,31,18,1,2,172.22,Pakistan
Shan Masood,24,14,2,0,171.42,Pakistan
Iftikhar Ahmed,1,3,0,0,33.33,Pakistan
Shadab Khan,0,0,0,0,-,Pakistan
KL Rahul,51,35,3,3,145.71,India
Rohit Sharma(c),15,13,2,0,115.38,India
Virat Kohli,26,25,2,0,104,India
Suryakumar Yadav,61,25,6,4,244,India
Rishabh Pant,3,5,0,0,60,India
Hardik Pandya,18,18,2,0,100,India
Axar Patel,0,0,0,0,-,India
Wessly Madhevere,0,1,0,0,0,Zimbabwe
Craig Ervine(c),13,15,2,0,86.66,Zimbabwe
Regis Chakabva,0,6,0,0,0,Zimbabwe
Sean Williams,11,18,0,1,61.11,Zimbabwe
Sikandar Raza,34,24,3,0,141.66,Zimbabwe
Tony Munyonga,5,4,1,0,125,Zimbabwe
Ryan Burl,35,22,5,1,159.09,Zimbabwe
Wellington Masakadza,1,7,0,0,14.28,Zimbabwe
Richard Ngarava,1,2,0,0,50,Zimbabwe
Tendai Chatara,4,4,1,0,100,Zimbabwe
Blessing Muzarabani,0,2,0,0,0,Zimbabwe
Finn Allen,4,3,1,0,133.33,New Zealand
Devon Conway,21,20,3,0,105,New Zealand
Kane Williamson(c),46,42,1,1,109.52,New Zealand
Glenn Phillips,6,8,1,0,75,New Zealand
Daryl Mitchell,53,35,3,1,151.42,New Zealand
James Neesham,16,12,1,0,133.33,New Zealand
Mohammad Rizwan,57,43,5,0,132.55,Pakistan
Babar Azam(c),53,42,7,0,126.19,Pakistan
Mohammad Haris,30,26,2,1,115.38,Pakistan
Shan Masood,3,4,0,0,75,Pakistan
Iftikhar Ahmed,0,0,0,0,-,Pakistan
KL Rahul,5,5,1,0,100,India
Rohit Sharma(c),27,28,4,0,96.42,India
Virat Kohli,50,40,4,1,125,India
Suryakumar Yadav,14,10,1,1,140,India
Hardik Pandya,63,33,4,5,190.9,India
Rishabh Pant,6,4,1,0,150,India
Ravichandran Ashwin,0,0,0,0,-,India
Jos Buttler(c),80,49,9,3,163.26,England
Alex Hales,86,47,4,7,182.97,England
Mohammad Rizwan,15,14,0,1,107.14,Pakistan
Babar Azam(c),32,28,2,0,114.28,Pakistan
Mohammad Haris,8,12,1,0,66.66,Pakistan
Shan Masood,38,28,2,1,135.71,Pakistan
Iftikhar Ahmed,0,6,0,0,0,Pakistan
Shadab Khan,20,14,2,0,142.85,Pakistan
Mohammad Nawaz,5,7,0,0,71.42,Pakistan
Mohammad Wasim,4,8,0,0,50,Pakistan
Shaheen Shah Afridi,5,3,1,0,166.66,Pakistan
Haris Rauf,1,1,0,0,100,Pakistan
Jos Buttler(c),26,17,3,1,152.94,England
Alex Hales,1,2,0,0,50,England
Phil Salt,10,9,2,0,111.11,England
Ben Stokes,52,49,5,1,106.12,England
Harry Brook,20,23,1,0,86.95,England
Moeen Ali,19,13,3,0,146.15,England
Liam Livingstone,1,1,0,0,100,England
