Batsman,Runs,Balls,4s,6s,Strike_Rates,Country
Andy Balbirnie(c),14,12,2,0,116.66,Ireland
Lorcan Tucker,20,17,2,0,117.64,Ireland
Harry Tector,14,16,1,0,87.5,Ireland
Curtis Campher,72,32,7,2,225,Ireland
George Dockrell,39,27,4,1,144.44,Ireland
Kyle Mayers,13,12,2,0,108.33,West Indies
Johnson Charles,45,36,3,2,125,West Indies
Evin Lewis,15,18,1,0,83.33,West Indies
Nicholas Pooran(c),7,9,0,0,77.77,West Indies
Rovman Powell,28,21,1,2,133.33,West Indies
Shamarh Brooks,0,3,0,0,0,West Indies
Jason Holder,4,3,0,0,133.33,West Indies
Akeal Hosein,23,18,2,0,127.77,West Indies
Odean Smith,1,2,0,0,50,West Indies
Wessly Madhevere,27,19,3,1,142.1,Zimbabwe
Regis Chakabva(c),13,9,3,0,144.44,Zimbabwe
Tony Munyonga,2,6,0,0,33.33,Zimbabwe
Sean Williams,1,2,0,0,50,Zimbabwe
Sikandar Raza,14,8,1,1,175,Zimbabwe
Milton Shumba,2,9,0,0,22.22,Zimbabwe
Ryan Burl,17,19,3,0,89.47,Zimbabwe
Luke Jongwe,29,22,3,1,131.81,Zimbabwe
Richard Ngarava,2,6,0,0,33.33,Zimbabwe
Tendai Chatara,3,8,0,0,37.5,Zimbabwe
Blessing Muzarabani,1,4,0,0,25,Zimbabwe
Pathum Nissanka,14,21,0,1,66.66,Sri Lanka
Kusal Mendis,79,44,5,5,179.54,Sri Lanka
Dhananjaya de Silva,0,1,0,0,0,Sri Lanka
Charith Asalanka,31,30,3,0,103.33,Sri Lanka
Bhanuka Rajapaksa,19,13,2,0,146.15,Sri Lanka
Dasun Shanaka(c),8,5,0,1,160,Sri Lanka
Wanindu Hasaranga de Silva,5,4,0,0,125,Sri Lanka
Chamika Karunaratne,2,2,0,0,100,Sri Lanka
Max O'Dowd,71,53,6,3,133.96,Netherlands
Vikramjit Singh,7,14,0,0,50,Netherlands
Bas de Leede,14,10,1,1,140,Netherlands
Colin Ackermann,0,1,0,0,0,Netherlands
Tom Cooper,16,19,2,0,84.21,Netherlands
Scott Edwards(c),21,15,3,0,140,Netherlands
Tim Pringle,2,4,0,0,50,Netherlands
Timm van der Gugten,0,1,0,0,0,Netherlands
Fred Klaassen,3,3,0,0,100,Netherlands
Paul van Meekeren,0,0,0,0,-,Netherlands
Roelof van der Merwe,0,1,0,0,0,Netherlands
Muhammad Waseem,50,41,1,3,121.95,U.A.E.
Vriitya Aravind,21,32,2,0,65.62,U.A.E.
Chundangapoyil Rizwan(c),43,29,3,1,148.27,U.A.E.
Alishan Sharafu,4,4,0,0,100,U.A.E.
Basil Hameed,25,14,2,2,178.57,U.A.E.
Michael van Lingen,10,8,1,0,125,Namibia
Stephan Baard,4,6,1,0,66.66,Namibia
Jan Nicol Loftie-Eaton,1,6,0,0,16.66,Namibia
Gerhard Erasmus(c),16,18,2,0,88.88,Namibia
Jan Frylinck,14,17,1,0,82.35,Namibia
JJ Smit,3,3,0,0,100,Namibia
David Wiese,55,36,3,3,152.77,Namibia
Zane Green,2,3,0,0,66.66,Namibia
Ruben Trumpelmann,25,24,1,1,104.16,Namibia
Bernard Scholtz,1,1,0,0,100,Namibia
Kyle Mayers,1,5,0,0,20,West Indies
Johnson Charles,24,18,3,1,133.33,West Indies
Evin Lewis,13,18,0,0,72.22,West Indies
Brandon King,62,48,6,1,129.16,West Indies
Nicholas Pooran(c),13,11,0,1,118.18,West Indies
Rovman Powell,6,8,1,0,75,West Indies
Odean Smith,19,12,1,2,158.33,West Indies
Paul Stirling,66,48,6,2,137.5,Ireland
Andy Balbirnie(c),37,23,3,3,160.86,Ireland
Lorcan Tucker,45,35,2,2,128.57,Ireland
George Munsey,54,51,7,0,105.88,Scotland
Michael Jones,4,5,1,0,80,Scotland
Matthew Cross,1,7,0,0,14.28,Scotland
Richie Berrington(c),13,15,0,0,86.66,Scotland
Calum MacLeod,25,26,1,0,96.15,Scotland
Michael Leask,12,9,2,0,133.33,Scotland
Chris Greaves,3,7,0,0,42.85,Scotland
Josh Davey,4,3,0,0,133.33,Scotland
Regis Chakabva,4,3,1,0,133.33,Zimbabwe
Craig Ervine(c),58,54,6,0,107.4,Zimbabwe
Wessly Madhevere,0,5,0,0,0,Zimbabwe
Sean Williams,7,12,0,0,58.33,Zimbabwe
Sikandar Raza,40,23,3,2,173.91,Zimbabwe
Milton Shumba,11,11,0,0,100,Zimbabwe
Ryan Burl,9,5,1,0,180,Zimbabwe
Finn Allen,42,16,5,3,262.5,New Zealand
Devon Conway,92,58,7,2,158.62,New Zealand
Kane Williamson(c),23,23,1,1,100,New Zealand
Glenn Phillips,12,10,2,0,120,New Zealand
James Neesham,26,13,0,2,200,New Zealand
David Warner,5,6,1,0,83.33,Australia
Aaron Finch(c),13,11,1,1,118.18,Australia
Mitchell Marsh,16,12,2,1,133.33,Australia
Glenn Maxwell,28,20,3,1,140,Australia
Marcus Stoinis,7,14,0,0,50,Australia
Tim David,11,8,0,1,137.5,Australia
Matthew Wade,2,4,0,0,50,Australia
Pat Cummins,21,18,2,1,116.66,Australia
Mitchell Starc,4,7,0,0,57.14,Australia
Adam Zampa,0,2,0,0,0,Australia
Josh Hazlewood,1,1,0,0,100,Australia
Hazratullah Zazai,7,17,1,0,41.17,Afghanistan
Rahmanullah Gurbaz,10,9,0,1,111.11,Afghanistan
