Bowler,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Country
Jason Holder,3.2,0,12,3,3.6,12,1,0,West Indies
Odean Smith,3,0,31,1,10.33,8,4,1,West Indies
Fred Klaassen,4,0,34,1,8.5,9,1,2,Netherlands
Tim Pringle,3,0,22,0,7.33,8,0,2,Netherlands
Roelof van der Merwe,3,0,16,0,5.33,10,2,0,Netherlands
Paul van Meekeren,4,0,25,2,6.25,11,3,0,Netherlands
Bas de Leede,3,0,31,2,10.33,5,2,2,Netherlands
Timm van der Gugten,3,0,31,1,10.33,3,2,1,Netherlands
Dhananjaya de Silva,1,0,5,0,5,1,0,0,Sri Lanka
Lahiru Kumara,4,0,28,1,7,14,2,1,Sri Lanka
Binura Fernando,4,0,33,1,8.25,11,4,1,Sri Lanka
Maheesh Theekshana,4,0,32,2,8,12,1,2,Sri Lanka
Wanindu Hasaranga de Silva,4,0,28,3,7,11,3,0,Sri Lanka
Chamika Karunaratne,2,0,11,0,5.5,6,1,0,Sri Lanka
Dasun Shanaka,1,0,7,0,7,3,1,0,Sri Lanka
Ruben Trumpelmann,4,0,22,0,5.5,10,0,0,Namibia
David Wiese,4,0,27,1,6.75,12,2,1,Namibia
Bernard Scholtz,4,0,22,1,5.5,11,1,1,Namibia
JJ Smit,4,0,39,0,9.75,11,2,3,Namibia
Jan Frylinck,3,0,30,0,10,3,2,1,Namibia
Ben Shikongo,1,0,8,1,8,1,1,0,Namibia
Basil Hameed,3,0,17,2,5.66,10,2,0,U.A.E.
Junaid Siddique,4,0,35,1,8.75,8,3,1,U.A.E.
Zahoor Khan,4,0,20,2,5,15,1,0,U.A.E.
Ahmed Raza,1,0,9,0,9,1,1,0,U.A.E.
Karthik Meiyappan,4,0,34,1,8.5,8,2,2,U.A.E.
Aayan Afzal Khan,2,0,7,0,3.5,5,0,0,U.A.E.
Muhammad Waseem,2,0,16,1,8,3,0,1,U.A.E.
Josh Little,4,0,31,0,7.75,8,1,2,Ireland
Mark Adair,4,0,26,0,6.5,12,1,1,Ireland
Barry McCarthy,4,0,33,1,8.25,9,3,1,Ireland
Curtis Campher,2,0,28,0,14,2,4,1,Ireland
Simi Singh,2,0,11,1,5.5,4,1,0,Ireland
Gareth Delany,4,0,16,3,4,12,1,0,Ireland
Obed McCoy,3.3,0,27,0,7.71,11,2,2,West Indies
Akeal Hosein,4,0,38,1,9.5,5,2,2,West Indies
Alzarri Joseph,4,0,39,0,9.75,9,3,2,West Indies
Odean Smith,2,0,23,0,11.5,4,3,1,West Indies
Jason Holder,4,0,23,0,5.75,7,1,0,West Indies
Tendai Chatara,4,1,14,2,3.5,14,1,0,Zimbabwe
Richard Ngarava,4,0,28,2,7,12,4,0,Zimbabwe
Blessing Muzarabani,4,0,34,1,8.5,9,5,0,Zimbabwe
Sean Williams,3,0,19,0,6.33,4,1,0,Zimbabwe
Sikandar Raza,4,0,20,1,5,10,0,0,Zimbabwe
Wessly Madhevere,1,0,7,0,7,1,0,0,Zimbabwe
Brad Wheal,4,0,26,1,6.5,12,4,0,Scotland
Josh Davey,3,0,16,2,5.33,8,1,0,Scotland
Safyaan Sharif,2.3,0,23,0,9.2,4,3,0,Scotland
Mark Watt,4,0,19,1,4.75,9,1,0,Scotland
Michael Leask,4,0,36,1,9,4,2,1,Scotland
Calum MacLeod,1,0,11,0,11,0,0,1,Scotland
Mitchell Starc,4,0,36,0,9,5,3,1,Australia
Josh Hazlewood,4,0,41,2,10.25,8,5,1,Australia
Pat Cummins,4,0,46,0,11.5,8,4,2,Australia
Marcus Stoinis,4,0,38,0,9.5,3,1,2,Australia
Adam Zampa,4,0,39,1,9.75,4,2,2,Australia
Trent Boult,4,0,24,2,6,13,2,1,New Zealand
Tim Southee,2.1,0,6,3,2.76,10,1,0,New Zealand
Mitchell Santner,4,0,31,3,7.75,10,2,2,New Zealand
Lockie Ferguson,3,0,20,1,6.66,9,2,1,New Zealand
Ish Sodhi,4,0,29,1,7.25,8,2,1,New Zealand
Ben Stokes,4,0,19,2,4.75,14,2,0,England
Chris Woakes,4,0,24,1,6,15,2,1,England
Mark Wood,4,0,23,2,5.75,14,2,1,England
Sam Curran,3.4,0,10,5,2.72,16,1,0,England
Adil Rashid,4,0,32,0,8,4,1,1,England
Fazalhaq Farooqi,4,0,24,1,6,15,2,1,Afghanistan
Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,Afghanistan
Mujeeb Ur Rahman,4,0,22,1,5.5,10,1,0,Afghanistan
Rashid Khan,4,0,17,1,4.25,10,0,0,Afghanistan
Fareed Ahmad,2,0,23,1,11.5,2,2,0,Afghanistan
Mohammad Nabi,3,0,16,1,5.33,6,0,0,Afghanistan
