Bowler,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Country
Charith Asalanka,1,0,8,0,8,1,1,0,Sri Lanka
Wayne Parnell,4,0,32,0,8,10,2,2,South Africa
Kagiso Rabada,3,0,37,0,12.33,6,7,0,South Africa
Lungi Ngidi,3,0,35,0,11.66,3,5,0,South Africa
Anrich Nortje,4,0,10,1,2.5,14,0,0,South Africa
Keshav Maharaj,4,0,27,2,6.75,12,1,2,South Africa
Aiden Markram,2,0,16,1,8,3,0,1,South Africa
Fred Klaassen,4,0,20,2,5,15,3,0,Netherlands
Paul van Meekeren,3,0,33,1,11,5,1,2,Netherlands
Colin Ackermann,3,0,16,0,5.33,6,1,0,Netherlands
Roelof van der Merwe,2,0,19,0,9.5,2,2,0,Netherlands
Brandon Glover,2,0,9,3,4.5,5,0,0,Netherlands
Logan van Beek,3,0,23,0,7.66,4,1,1,Netherlands
Bas de Leede,3,0,25,2,8.33,4,1,0,Netherlands
Shaheen Shah Afridi,4,0,22,4,5.5,13,2,1,Pakistan
Naseem Shah,3,0,15,0,5,9,2,0,Pakistan
Mohammad Wasim,2,0,19,0,9.5,5,1,1,Pakistan
Haris Rauf,4,0,21,1,5.25,11,2,0,Pakistan
Shadab Khan,4,0,30,2,7.5,8,3,0,Pakistan
Iftikhar Ahmed,3,0,15,1,5,9,2,0,Pakistan
Taskin Ahmed,3,0,26,0,8.66,10,1,2,Bangladesh
Nasum Ahmed,4,0,14,1,3.5,13,0,0,Bangladesh
Shakib Al Hasan,4,0,35,1,8.75,6,5,0,Bangladesh
Mustafizur Rahman,4,0,21,1,5.25,8,0,0,Bangladesh
Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,Bangladesh
Richard Ngarava,4,1,44,1,11,12,2,4,Zimbabwe
Tendai Chatara,4,0,34,0,8.5,5,3,1,Zimbabwe
Blessing Muzarabani,4,0,50,1,12.5,5,8,0,Zimbabwe
Wellington Masakadza,2,0,12,0,6,5,1,0,Zimbabwe
Ryan Burl,1,0,14,0,14,1,1,1,Zimbabwe
Sikandar Raza,3,0,18,1,6,5,0,1,Zimbabwe
Sean Williams,2,0,9,2,4.5,6,0,0,Zimbabwe
Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,India
Arshdeep Singh,2,0,9,1,4.5,9,1,0,India
Mohammed Shami,2,0,14,2,7,7,1,1,India
Hardik Pandya,3,0,16,2,5.33,10,1,0,India
Ravichandran Ashwin,4,0,22,3,5.5,13,3,0,India
Axar Patel,3.2,0,40,1,12,4,5,1,India
Shaheen Shah Afridi,4,0,24,2,6,11,2,0,Pakistan
Naseem Shah,4,0,30,0,7.5,8,3,0,Pakistan
Haris Rauf,4,0,32,0,8,6,2,0,Pakistan
Mohammad Wasim,2,0,15,0,7.5,3,0,1,Pakistan
Shadab Khan,4,0,33,0,8.25,7,3,1,Pakistan
Mohammad Nawaz,2,0,12,1,6,2,0,0,Pakistan
Trent Boult,4,0,33,2,8.25,9,5,0,New Zealand
Tim Southee,3.1,0,24,0,7.57,7,3,0,New Zealand
Lockie Ferguson,4,0,37,0,9.25,7,4,1,New Zealand
Mitchell Santner,4,0,26,1,6.5,6,1,0,New Zealand
Ish Sodhi,4,0,26,0,6.5,4,1,0,New Zealand
Ben Stokes,2,0,18,0,9,5,2,1,England
Chris Woakes,3,0,24,1,8,5,1,1,England
Sam Curran,4,0,42,0,10.5,9,5,2,England
Adil Rashid,4,0,20,1,5,8,1,0,England
Liam Livingstone,3,0,21,0,7,7,3,0,England
Chris Jordan,4,0,43,3,10.75,8,3,3,England
Bhuvneshwar Kumar,2,0,25,0,12.5,4,3,1,India
Arshdeep Singh,2,0,15,0,7.5,4,2,0,India
Axar Patel,4,0,30,0,7.5,10,2,2,India
Mohammed Shami,3,0,39,0,13,7,4,3,India
Ravichandran Ashwin,2,0,27,0,13.5,1,1,2,India
Hardik Pandya,3,0,34,0,11.33,5,1,2,India
Ben Stokes,4,0,32,1,8,6,1,0,England
Chris Woakes,3,0,26,0,8.66,7,2,1,England
Sam Curran,4,0,12,3,3,15,0,0,England
Adil Rashid,4,1,22,2,5.5,10,1,0,England
Chris Jordan,4,0,27,2,6.75,9,3,0,England
Liam Livingstone,1,0,16,0,16,1,1,1,England
Shaheen Shah Afridi,2.1,0,13,1,6,6,1,0,Pakistan
Naseem Shah,4,0,30,0,7.5,15,3,1,Pakistan
Haris Rauf,4,0,23,2,5.75,13,3,0,Pakistan
Shadab Khan,4,0,20,1,5,10,1,0,Pakistan
Mohammad Wasim,4,0,38,1,9.5,5,5,0,Pakistan
Iftikhar Ahmed,0.5,0,13,0,15.6,0,1,1,Pakistan
